country,year,population,gdp_for_year,gdp_per_capita
Albania,1987,2709600,"2,156,624,900",796
Albania,1988,2764300,"2,126,000,000",769
Albania,1989,2803100,"2,335,124,988",833
Albania,1992,2822500,"709,452,584",251
Albania,1993,2807300,"1,228,071,038",437
Albania,1994,2849300,"1,985,673,798",697
Albania,1995,2903400,"2,424,499,009",835
Albania,1996,2940200,"3,314,898,292",1127
Albania,1997,2977300,"2,359,903,108",793
Albania,1998,3012700,"2,707,123,772",899
Albania,1999,3029700,"3,414,760,915",1127
Albania,2000,2796300,"3,632,043,908",1299
Albania,2001,2799349,"4,060,758,804",1451
Albania,2002,2818839,"4,435,078,648",1573
Albania,2003,2843929,"5,746,945,913",2021
Albania,2004,2874991,"7,314,865,176",2544
Albania,2005,2783320,"8,158,548,717",2931
Albania,2006,2780176,"8,992,642,349",3235
Albania,2007,2770344,"10,701,011,897",3863
Albania,2008,2757059,"12,881,352,688",4672
Albania,2009,2745735,"12,044,212,904",4387
Albania,2010,2736025,"11,926,953,259",4359
Antigua and Barbuda,1985,62574,"240,923,926",3850
Antigua and Barbuda,1986,61270,"290,440,148",4740
Antigua and Barbuda,1987,60261,"337,174,852",5595
Antigua and Barbuda,1988,59564,"398,637,741",6693
Antigua and Barbuda,1989,59238,"438,794,778",7407
Antigua and Barbuda,1990,59334,"459,469,074",7744
Antigua and Barbuda,1991,60394,"481,706,333",7976
Antigua and Barbuda,1992,61741,"499,281,148",8087
Antigua and Barbuda,1993,63315,"535,172,778",8453
Antigua and Barbuda,1994,65044,"589,429,593",9062
Antigua and Barbuda,1995,66846,"577,280,741",8636
Antigua and Barbuda,1998,72225,"727,860,593",10078
Antigua and Barbuda,1999,73832,"766,198,926",10378
Antigua and Barbuda,2000,75326,"830,158,778",11021
Antigua and Barbuda,2001,76497,"800,740,259",10468
Antigua and Barbuda,2002,77588,"814,615,333",10499
Antigua and Barbuda,2003,78658,"855,643,111",10878
Antigua and Barbuda,2004,79722,"919,577,148",11535
Antigua and Barbuda,2005,80809,"1,022,191,296",12649
Antigua and Barbuda,2006,81973,"1,157,005,444",14114
Antigua and Barbuda,2007,83131,"1,311,401,333",15775
Antigua and Barbuda,2008,84273,"1,368,431,037",16238
Antigua and Barbuda,2009,85405,"1,224,253,000",14335
Antigua and Barbuda,2012,88703,"1,211,411,704",13657
Antigua and Barbuda,2013,89779,"1,192,925,407",13287
Antigua and Barbuda,2014,90837,"1,280,133,333",14093
Antigua and Barbuda,2015,91889,"1,364,863,037",14853
Argentina,1985,27090800,"88,416,668,900",3264
Argentina,1986,27244400,"110,934,442,763",4072
Argentina,1987,27599400,"111,106,191,358",4026
Argentina,1988,28308000,"126,206,817,196",4458
Argentina,1989,28702000,"76,636,898,036",2670
Argentina,1990,29091100,"141,352,368,715",4859
Argentina,1991,29623000,"189,719,984,268",6404
Argentina,1992,30045400,"228,788,617,202",7615
Argentina,1993,30477500,"236,741,715,015",7768
Argentina,1994,30911200,"257,440,000,000",8328
Argentina,1995,31345400,"258,031,750,000",8232
Argentina,1996,31780700,"272,149,750,000",8563
Argentina,1997,32333781,"292,859,000,000",9057
Argentina,1998,32757259,"298,948,250,000",9126
Argentina,1999,33174862,"283,523,000,000",8546
Argentina,2000,33585533,"284,203,750,000",8462
Argentina,2001,34010946,"268,696,750,000",7900
Argentina,2002,34407507,"97,724,004,252",2840
Argentina,2003,34785907,"127,586,973,492",3668
Argentina,2004,35162945,"164,657,930,453",4683
Argentina,2005,35550617,"198,737,095,012",5590
Argentina,2006,35918886,"232,557,260,817",6475
Argentina,2007,36315492,"287,530,508,431",7918
Argentina,2008,36733520,"361,558,037,110",9843
Argentina,2009,37158001,"332,976,484,578",8961
Argentina,2010,37578454,"423,627,422,092",11273
Argentina,2011,38015739,"530,163,281,575",13946
Argentina,2012,38441778,"545,982,375,701",14203
Argentina,2013,38859125,"552,025,140,252",14206
Argentina,2014,39276555,"526,319,673,732",13400
Argentina,2015,39699624,"594,749,285,413",14981
Armenia,1990,2983700,"2,256,838,858",756
Armenia,1991,3230800,"2,068,526,522",640
Armenia,1992,3308700,"1,272,577,456",385
Armenia,1993,3366600,"1,201,313,201",357
Armenia,1994,3402500,"1,315,158,670",387
Armenia,1995,3443200,"1,468,317,350",426
Armenia,1996,3486300,"1,596,968,913",458
Armenia,1997,3526700,"1,639,492,424",465
Armenia,1998,3558000,"1,893,726,437",532
Armenia,1999,3580700,"1,845,482,181",515
Armenia,2000,3606500,"1,911,563,665",530
Armenia,2001,3610516,"2,118,467,913",587
Armenia,2002,3014844,"2,376,335,048",788
Armenia,2003,3024366,"2,807,061,009",928
Armenia,2006,2764396,"6,384,451,606",2310
Armenia,2007,2735313,"9,206,301,700",3366
Armenia,2008,3045391,"11,662,040,714",3829
Armenia,2009,2689695,"8,647,936,748",3215
Armenia,2010,2676225,"9,260,284,938",3460
Armenia,2011,2670366,"10,142,111,334",3798
Armenia,2012,2814300,"10,619,320,049",3773
Armenia,2013,2810664,"11,121,465,767",3957
Armenia,2014,2803029,"11,609,512,940",4142
Armenia,2015,2795335,"10,553,337,673",3775
Armenia,2016,2400033,"10,546,135,160",3788
Aruba,1995,73581,"1,320,670,391",17949
Aruba,1999,81934,"1,722,798,883",21027
Aruba,2000,83888,"1,873,452,514",22333
Aruba,2001,86045,"1,920,262,570",22317
Aruba,2002,88284,"1,941,094,972",21987
Aruba,2003,90457,"2,021,301,676",22345
Aruba,2004,92335,"2,228,279,330",24133
Aruba,2005,93728,"2,331,005,587",24870
Aruba,2006,94508,"2,421,474,860",25622
Aruba,2007,94814,"2,623,726,257",27672
Aruba,2008,94814,"2,791,960,894",29447
Aruba,2009,94795,"2,498,932,961",26361
Aruba,2010,95006,"2,467,703,911",25974
Aruba,2011,95488,"2,584,463,687",27066
Australia,1985,14562500,"180,190,994,861",12374
Australia,1986,14809800,"181,977,476,217",12288
Australia,1987,15046500,"189,041,159,344",12564
