country,year,sex,age,suicides_no,suicides_rate
Albania,1987,male,15-24 years,21,6.71
Albania,1987,male,35-54 years,16,5.19
Albania,1987,female,15-24 years,14,4.83
Albania,1987,male,75+ years,1,4.59
Albania,1987,male,25-34 years,9,3.28
Albania,1987,female,75+ years,1,2.81
Albania,1987,female,35-54 years,6,2.15
Albania,1987,female,25-34 years,4,1.56
Albania,1987,male,55-74 years,1,0.73
Albania,1987,female,5-14 years,0,0.0
Albania,1987,female,55-74 years,0,0.0
Albania,1987,male,5-14 years,0,0.0
Albania,1988,female,75+ years,2,5.49
Albania,1988,male,15-24 years,17,5.33
Albania,1988,male,75+ years,1,4.48
Albania,1988,male,35-54 years,14,4.46
Albania,1988,male,55-74 years,4,2.85
Albania,1988,female,15-24 years,8,2.71
Albania,1988,female,55-74 years,3,2.03
Albania,1988,female,25-34 years,5,1.91
Albania,1988,male,25-34 years,5,1.79
Albania,1988,female,35-54 years,4,1.41
Albania,1988,female,5-14 years,0,0.0
Albania,1988,male,5-14 years,0,0.0
Albania,1989,male,75+ years,2,8.89
Albania,1989,male,25-34 years,18,6.35
Albania,1989,male,35-54 years,15,4.71
Albania,1989,male,55-74 years,6,4.22
Albania,1989,male,15-24 years,12,3.71
Albania,1989,female,35-54 years,7,2.43
Albania,1989,female,15-24 years,5,1.67
Albania,1989,female,25-34 years,2,0.75
Albania,1989,female,55-74 years,1,0.67
Albania,1989,female,5-14 years,0,0.0
Albania,1989,female,75+ years,0,0.0
Albania,1989,male,5-14 years,0,0.0
Albania,1992,male,35-54 years,12,3.49
Albania,1992,male,15-24 years,9,3.41
Albania,1992,male,55-74 years,5,3.13
Albania,1992,male,25-34 years,7,2.85
Albania,1992,female,15-24 years,7,2.39
Albania,1992,female,25-34 years,4,1.5
Albania,1992,female,35-54 years,2,0.62
Albania,1992,female,55-74 years,1,0.61
Albania,1992,female,5-14 years,0,0.0
Albania,1992,female,75+ years,0,0.0
Albania,1992,male,5-14 years,0,0.0
Albania,1992,male,75+ years,0,0.0
Albania,1993,male,15-24 years,18,7.4
Albania,1993,male,55-74 years,7,4.24
Albania,1993,male,75+ years,1,4.13
Albania,1993,male,25-34 years,9,3.91
Albania,1993,female,15-24 years,10,3.51
Albania,1993,male,35-54 years,10,2.85
Albania,1993,female,25-34 years,7,2.67
Albania,1993,female,35-54 years,7,2.11
Albania,1993,female,55-74 years,2,1.18
Albania,1993,female,5-14 years,1,0.29
Albania,1993,male,5-14 years,1,0.27
Albania,1993,female,75+ years,0,0.0
Albania,1994,male,75+ years,2,8.13
Albania,1994,male,55-74 years,11,6.42
Albania,1994,female,75+ years,2,5.01
Albania,1994,male,25-34 years,6,2.59
Albania,1994,male,35-54 years,9,2.48
Albania,1994,male,15-24 years,6,2.48
Albania,1994,female,15-24 years,6,2.12
Albania,1994,female,25-34 years,4,1.53
Albania,1994,female,35-54 years,2,0.58
Albania,1994,female,55-74 years,1,0.57
Albania,1994,male,5-14 years,1,0.27
Albania,1994,female,5-14 years,0,0.0
Albania,1995,male,25-34 years,13,5.58
Albania,1995,male,55-74 years,9,5.06
Albania,1995,female,75+ years,2,4.9
Albania,1995,female,15-24 years,13,4.59
Albania,1995,male,15-24 years,11,4.56
Albania,1995,male,75+ years,1,3.98
Albania,1995,male,35-54 years,14,3.72
Albania,1995,female,25-34 years,7,2.65
Albania,1995,female,35-54 years,8,2.24
Albania,1995,male,5-14 years,6,1.59
Albania,1995,female,55-74 years,2,1.11
Albania,1995,female,5-14 years,2,0.57
Albania,1996,male,75+ years,2,7.87
Albania,1996,male,15-24 years,17,6.98
Albania,1996,male,25-34 years,14,5.95
Albania,1996,female,15-24 years,16,5.56
Albania,1996,female,75+ years,2,4.85
Albania,1996,female,25-34 years,10,3.73
Albania,1996,male,35-54 years,12,3.16
Albania,1996,female,35-54 years,9,2.49
Albania,1996,male,55-74 years,3,1.67
Albania,1996,female,55-74 years,1,0.55
Albania,1996,male,5-14 years,2,0.53
Albania,1996,female,5-14 years,1,0.28
Albania,1997,male,25-34 years,36,15.25
Albania,1997,male,15-24 years,33,13.5
Albania,1997,male,75+ years,3,11.81
Albania,1997,male,35-54 years,30,7.88
Albania,1997,female,15-24 years,21,7.14
Albania,1997,male,55-74 years,12,6.66
Albania,1997,female,25-34 years,16,5.84
Albania,1997,female,75+ years,2,4.75
Albania,1997,female,35-54 years,7,1.89
Albania,1997,female,5-14 years,6,1.66
Albania,1997,male,5-14 years,4,1.05
Albania,1997,female,55-74 years,0,0.0
Albania,1998,male,75+ years,3,11.63
Albania,1998,male,15-24 years,27,10.85
Albania,1998,female,15-24 years,32,10.83
Albania,1998,male,25-34 years,26,10.82
Albania,1998,male,35-54 years,29,7.47
Albania,1998,male,55-74 years,9,4.9
Albania,1998,female,25-34 years,10,3.63
Albania,1998,female,55-74 years,6,3.19
Albania,1998,female,35-54 years,9,2.42
Albania,1998,male,5-14 years,2,0.51
Albania,1998,female,5-14 years,1,0.27
Albania,1998,female,75+ years,0,0.0
Albania,1999,male,75+ years,3,11.58
Albania,1999,male,15-24 years,24,9.58
Albania,1999,female,75+ years,4,9.43
Albania,1999,male,35-54 years,31,7.93
Albania,1999,male,25-34 years,19,7.84
Albania,1999,male,55-74 years,14,7.56
Albania,1999,female,15-24 years,19,6.4
Albania,1999,female,25-34 years,13,4.7
Albania,1999,female,55-74 years,6,3.18
Albania,1999,female,35-54 years,5,1.34
Albania,1999,female,5-14 years,1,0.27
Albania,1999,male,5-14 years,0,0.0
Albania,2000,male,25-34 years,17,7.33
Albania,2000,male,55-74 years,10,5.64
Albania,2000,female,75+ years,2,5.29
Albania,2000,male,75+ years,1,4.02
Albania,2000,female,15-24 years,6,2.27
Albania,2000,male,15-24 years,5,2.08
Albania,2000,female,35-54 years,5,1.51
Albania,2000,female,25-34 years,3,1.22
Albania,2000,male,35-54 years,4,1.07
Albania,2000,male,5-14 years,1,0.27
Albania,2000,female,5-14 years,0,0.0
Albania,2000,female,55-74 years,0,0.0
Albania,2001,male,25-34 years,22,10.65
Albania,2001,male,35-54 years,34,8.98
Albania,2001,male,55-74 years,11,5.59
Albania,2001,female,75+ years,2,4.23
Albania,2001,male,15-24 years,10,3.91
Albania,2001,female,15-24 years,9,3.32
Albania,2001,female,35-54 years,12,3.24
Albania,2001,male,75+ years,1,3.22
Albania,2001,female,55-74 years,6,3.16
Albania,2001,male,5-14 years,6,1.87
Albania,2001,female,25-34 years,4,1.8
Albania,2001,female,5-14 years,2,0.65
Albania,2002,male,75+ years,4,12.9
Albania,2002,male,25-34 years,23,11.15
Albania,2002,male,35-54 years,35,9.16
Albania,2002,male,55-74 years,13,6.56
Albania,2002,male,15-24 years,15,5.7
Albania,2002,female,15-24 years,14,5.07
Albania,2002,female,35-54 years,15,4.0
Albania,2002,female,25-34 years,7,3.13
Albania,2002,female,75+ years,1,2.11
Albania,2002,female,55-74 years,4,2.09
Albania,2002,female,5-14 years,1,0.33
Albania,2002,male,5-14 years,1,0.31
Albania,2003,female,75+ years,6,12.22
Albania,2003,male,55-74 years,16,7.94
Albania,2003,male,35-54 years,28,7.25
Albania,2003,male,15-24 years,15,5.49
Albania,2003,female,15-24 years,14,4.93
Albania,2003,female,55-74 years,9,4.6
Albania,2003,male,25-34 years,9,4.38
Albania,2003,female,25-34 years,9,4.04
Albania,2003,female,35-54 years,13,3.41
Albania,2003,male,75+ years,1,3.06
Albania,2003,male,5-14 years,4,1.28
Albania,2003,female,5-14 years,0,0.0
Albania,2004,male,75+ years,4,11.26
Albania,2004,male,35-54 years,39,9.95
Albania,2004,male,25-34 years,16,7.85
Albania,2004,female,15-24 years,20,6.84
Albania,2004,male,15-24 years,19,6.63
Albania,2004,female,75+ years,3,5.89
Albania,2004,female,25-34 years,11,4.95
Albania,2004,male,55-74 years,10,4.83
Albania,2004,female,35-54 years,17,4.34
Albania,2004,female,55-74 years,3,1.47
Albania,2004,female,5-14 years,3,1.05
Albania,2004,male,5-14 years,1,0.33
Albania,2005,female,15-24 years,0,0.0
Albania,2005,female,25-34 years,0,0.0
Albania,2005,female,35-54 years,0,0.0
Albania,2005,female,5-14 years,0,0.0
Albania,2005,female,55-74 years,0,0.0
Albania,2005,female,75+ years,0,0.0
Albania,2005,male,15-24 years,0,0.0
Albania,2005,male,25-34 years,0,0.0
Albania,2005,male,35-54 years,0,0.0
Albania,2005,male,5-14 years,0,0.0
Albania,2005,male,55-74 years,0,0.0
Albania,2005,male,75+ years,0,0.0
Albania,2006,female,15-24 years,0,0.0
Albania,2006,female,25-34 years,0,0.0
Albania,2006,female,35-54 years,0,0.0
Albania,2006,female,5-14 years,0,0.0
Albania,2006,female,55-74 years,0,0.0
Albania,2006,female,75+ years,0,0.0
Albania,2006,male,15-24 years,0,0.0
Albania,2006,male,25-34 years,0,0.0
Albania,2006,male,35-54 years,0,0.0
Albania,2006,male,5-14 years,0,0.0
Albania,2006,male,55-74 years,0,0.0
Albania,2006,male,75+ years,0,0.0
Albania,2007,male,75+ years,8,18.88
Albania,2007,male,35-54 years,29,7.66
Albania,2007,male,55-74 years,14,6.25
Albania,2007,female,75+ years,3,5.23
Albania,2007,male,25-34 years,9,5.22
Albania,2007,female,15-24 years,13,4.63
Albania,2007,male,15-24 years,13,4.51
Albania,2007,female,25-34 years,8,4.36
Albania,2007,female,55-74 years,9,4.07
Albania,2007,female,35-54 years,14,3.57
Albania,2007,male,5-14 years,4,1.47
Albania,2007,female,5-14 years,0,0.0
Albania,2008,male,25-34 years,21,12.15
Albania,2008,male,35-54 years,37,9.81
Albania,2008,male,55-74 years,21,9.18
Albania,2008,female,75+ years,5,8.42
Albania,2008,female,15-24 years,20,7.24
Albania,2008,female,25-34 years,9,4.93
Albania,2008,female,35-54 years,19,4.82
Albania,2008,male,75+ years,2,4.49
Albania,2008,male,15-24 years,11,3.84
Albania,2008,female,55-74 years,7,3.09
Albania,2008,male,5-14 years,7,2.67
Albania,2008,female,5-14 years,1,0.41
Albania,2009,female,15-24 years,0,0.0
Albania,2009,female,25-34 years,0,0.0
Albania,2009,female,35-54 years,0,0.0
Albania,2009,female,5-14 years,0,0.0
Albania,2009,female,55-74 years,0,0.0
Albania,2009,female,75+ years,0,0.0
Albania,2009,male,15-24 years,0,0.0
Albania,2009,male,25-34 years,0,0.0
Albania,2009,male,35-54 years,0,0.0
Albania,2009,male,5-14 years,0,0.0
Albania,2009,male,55-74 years,0,0.0
Albania,2009,male,75+ years,0,0.0
Albania,2010,male,55-74 years,20,8.27
Albania,2010,male,35-54 years,20,5.38
Albania,2010,male,25-34 years,9,5.01
Albania,2010,male,75+ years,2,3.94
Albania,2010,male,15-24 years,10,3.58
Albania,2010,female,25-34 years,6,3.27
Albania,2010,female,75+ years,2,3.1
Albania,2010,female,35-54 years,12,3.04
Albania,2010,female,55-74 years,7,2.9
Albania,2010,female,15-24 years,6,2.28
Albania,2010,female,5-14 years,2,0.89
Albania,2010,male,5-14 years,0,0.0
Antigua and Barbuda,1985,female,15-24 years,0,0.0
Antigua and Barbuda,1985,female,25-34 years,0,0.0
Antigua and Barbuda,1985,female,35-54 years,0,0.0
Antigua and Barbuda,1985,female,5-14 years,0,0.0
Antigua and Barbuda,1985,female,55-74 years,0,0.0
Antigua and Barbuda,1985,female,75+ years,0,0.0
Antigua and Barbuda,1985,male,15-24 years,0,0.0
Antigua and Barbuda,1985,male,25-34 years,0,0.0
Antigua and Barbuda,1985,male,35-54 years,0,0.0
Antigua and Barbuda,1985,male,5-14 years,0,0.0
Antigua and Barbuda,1985,male,55-74 years,0,0.0
Antigua and Barbuda,1985,male,75+ years,0,0.0
Antigua and Barbuda,1986,female,15-24 years,0,0.0
Antigua and Barbuda,1986,female,25-34 years,0,0.0
Antigua and Barbuda,1986,female,35-54 years,0,0.0
Antigua and Barbuda,1986,female,5-14 years,0,0.0
Antigua and Barbuda,1986,female,55-74 years,0,0.0
Antigua and Barbuda,1986,female,75+ years,0,0.0
Antigua and Barbuda,1986,male,15-24 years,0,0.0
Antigua and Barbuda,1986,male,25-34 years,0,0.0
Antigua and Barbuda,1986,male,35-54 years,0,0.0
Antigua and Barbuda,1986,male,5-14 years,0,0.0
Antigua and Barbuda,1986,male,55-74 years,0,0.0
Antigua and Barbuda,1986,male,75+ years,0,0.0
Antigua and Barbuda,1987,female,15-24 years,0,0.0
