country,year,population
Albania,1987,2709600
Albania,1988,2764300
Albania,1989,2803100
Albania,1992,2822500
Albania,1993,2807300
Albania,1994,2849300
Albania,1995,2903400
Albania,1996,2940200
Albania,1997,2977300
Albania,1998,3012700
Albania,1999,3029700
Albania,2000,2796300
Albania,2001,2799349
Albania,2002,2818839
Albania,2003,2843929
Albania,2004,2874991
Albania,2005,2783320
Albania,2006,2780176
Albania,2007,2770344
Albania,2008,2757059
Albania,2009,2745735
Albania,2010,2736025
Antigua and Barbuda,1985,62574
Antigua and Barbuda,1986,61270
Antigua and Barbuda,1987,60261
Antigua and Barbuda,1988,59564
Antigua and Barbuda,1989,59238
Antigua and Barbuda,1990,59334
Antigua and Barbuda,1991,60394
Antigua and Barbuda,1992,61741
Antigua and Barbuda,1993,63315
Antigua and Barbuda,1994,65044
Antigua and Barbuda,1995,66846
Antigua and Barbuda,1998,72225
Antigua and Barbuda,1999,73832
Antigua and Barbuda,2000,75326
Antigua and Barbuda,2001,76497
Antigua and Barbuda,2002,77588
Antigua and Barbuda,2003,78658
Antigua and Barbuda,2004,79722
Antigua and Barbuda,2005,80809
Antigua and Barbuda,2006,81973
Antigua and Barbuda,2007,83131
Antigua and Barbuda,2008,84273
Antigua and Barbuda,2009,85405
Antigua and Barbuda,2012,88703
Antigua and Barbuda,2013,89779
Antigua and Barbuda,2014,90837
Antigua and Barbuda,2015,91889
Argentina,1985,27090800
Argentina,1986,27244400
Argentina,1987,27599400
Argentina,1988,28308000
Argentina,1989,28702000
Argentina,1990,29091100
Argentina,1991,29623000
Argentina,1992,30045400
Argentina,1993,30477500
Argentina,1994,30911200
Argentina,1995,31345400
Argentina,1996,31780700
Argentina,1997,32333781
Argentina,1998,32757259
Argentina,1999,33174862
Argentina,2000,33585533
Argentina,2001,34010946
Argentina,2002,34407507
Argentina,2003,34785907
Argentina,2004,35162945
Argentina,2005,35550617
Argentina,2006,35918886
Argentina,2007,36315492
Argentina,2008,36733520
Argentina,2009,37158001
Argentina,2010,37578454
Argentina,2011,38015739
Argentina,2012,38441778
Argentina,2013,38859125
Argentina,2014,39276555
Argentina,2015,39699624
Armenia,1990,2983700
Armenia,1991,3230800
Armenia,1992,3308700
Armenia,1993,3366600
Armenia,1994,3402500
Armenia,1995,3443200
Armenia,1996,3486300
Armenia,1997,3526700
Armenia,1998,3558000
Armenia,1999,3580700
Armenia,2000,3606500
Armenia,2001,3610516
Armenia,2002,3014844
Armenia,2003,3024366
Armenia,2006,2764396
Armenia,2007,2735313
Armenia,2008,3045391
Armenia,2009,2689695
Armenia,2010,2676225
Armenia,2011,2670366
Armenia,2012,2814300
Armenia,2013,2810664
Armenia,2014,2803029
Armenia,2015,2795335
Armenia,2016,2400033
Aruba,1995,73581
Aruba,1999,81934
Aruba,2000,83888
Aruba,2001,86045
Aruba,2002,88284
Aruba,2003,90457
Aruba,2004,92335
Aruba,2005,93728
Aruba,2006,94508
Aruba,2007,94814
Aruba,2008,94814
Aruba,2009,94795
Aruba,2010,95006
Aruba,2011,95488
Australia,1985,14562500
Australia,1986,14809800
Australia,1987,15046500
Australia,1988,15312100
Australia,1989,15570600
Australia,1990,15807000
Australia,1991,16012100
Australia,1992,16203500
Australia,1993,16370000
Australia,1994,16549400
Australia,1995,16766300
Australia,1996,17015100
Australia,1997,17221300
Australia,1998,17421730
Australia,1999,17641702
Australia,2000,17874410
Australia,2001,18130883
Australia,2002,18370058
Australia,2003,18608029
Australia,2004,18854551
Australia,2006,19109246
Australia,2007,19734430
Australia,2008,20120312
Australia,2009,20529317
Australia,2010,20847547
Australia,2011,20881910
Australia,2012,21238909
Australia,2013,21600180
Australia,2014,21927587
Australia,2015,22240785
Austria,1985,7110115
Austria,1986,7119149
Austria,1987,7130006
Austria,1988,7144410
Austria,1989,7177666
Austria,1990,7231353
Austria,1991,7299728
Austria,1992,7375368
Austria,1993,7433569
Austria,1994,7462552
